DOMAIN,DOMAIN_LENGTH,SUBDOMAIN,PORT,AT_SYMBOL,PRE_SUFFIX,IP_ADDRESS,SHORTENING,REDIRECTING,SUSPICIOUS_TLD,HTTPS,HTTPS_WILDCARD,HSTS,CSP,X_CONTENT_TYPE_OPTIONS,X_FRAME_OPTIONS,SECURE_COOKIES,MOUSE_OVER,RIGHT_CLICK,POPUP,I_FRAME,FAVICON,WEBSITE_TRAFFIC,FORWARDING,TP_RATING,TP_REVIEWS_COUNT,SA_RATING,SA_BACKLINKS,SA_WEBSITE_SPEED,SA_SSL_CERT,VT_RANK_STATVOO,VT_RANK_ALEXA,VT_RANK_CISCO,VT_SEC_HARMLESS,VT_SEC_MALICIOUS,VT_SEC_SUSPICIOUS,GSO_MALTIVERSE,GSO_APWG,GSO_COMPLYTRON,GSO_DNSFILTER,GSO_FLASHSTART,GSO_IQGLOBAL,GSO_PULSEDIVE,GSO_QUAD9,PR_GLOBAL_RANK,PR_PAGE_RANK,UV_DETECTIONS,UV_SITES_SAME_IP,UV_SITES_SAME_IP_DETECTIONS,WHOIS_CREATED_MONTHS,WHOIS_LAST_UPDATED_MONTHS,WHOIS_EXPIRES_IN_MONTHS,WHOIS_DNSSEC,WHOIS_COUNTRY,WHOIS_PRIVACY,TRUST
0-0.fr,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,14173,1,NaN,NaN,100,NaN,4,1,NaN,1,1,1,1,1,1,1,166474599,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0
03p.info,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NaN,94100,0,NaN,NaN,79,NaN,4,1,NaN,1,1,1,1,1,1,1,53286520,2,1,3,1,NaN,NaN,NaN,NaN,NaN,NaN,0
0n-line.tv,10,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NaN,472,0,NaN,NaN,1,23,4,1,NaN,1,1,1,0,1,1,1,19669904,3,1,14,3,NaN,NaN,NaN,NaN,NaN,NaN,0
1-99seo.com,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NaN,473,0,NaN,NaN,87,NaN,4,1,NaN,1,1,1,1,1,1,1,27954139,2,4,12,1,47,6,0,0,US,0,0
100dollars-seo.com,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NaN,138,0,NaN,NaN,1,NaN,4,1,NaN,1,1,1,0,1,1,1,33367193,2,0,7,3,1,1,11,0,CA,1,0
101nitro.com,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1145,1,NaN,NaN,72,NaN,4,0,NaN,1,1,1,1,1,1,1,NaN,NaN,6,14,4,13,2,10,0,RO,0,0
11trikots.com,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NaN,412162,0,0.0,0,36,NaN,4,1,NaN,1,1,1,1,1,1,1,368034597,0,1,14,6,NaN,NaN,NaN,NaN,NaN,NaN,0
12-suchen.de,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,NaN,16063,1,NaN,NaN,82,NaN,4,0,NaN,1,1,1,1,1,1,1,47083839,2,1,14,7,NaN,NaN,NaN,NaN,NaN,NaN,0
123brennholz.com,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1153,1,NaN,NaN,50,NaN,4,0,NaN,1,1,1,1,1,1,1,NaN,NaN,0,14,9,20,7,3,0,RO,0,0
123woning.com,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,593,0,3.6,3,1,NaN,4,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,14,4,34,6,2,0,US,1,0
