DOMAIN,DOMAIN_LENGTH,SUBDOMAIN,PORT,AT_SYMBOL,PRE_SUFFIX,HTTPS_HOSTNAME,IP_ADDRESS,SHORTENING,REDIRECTING,SUSPICIOUS_TLD,HTTPS,HTTPS_WILDCARD,HSTS,CSP,X_CONTENT_TYPE_OPTIONS,X_FRAME_OPTIONS,SECURE_COOKIES,MOUSE_OVER,RIGHT_CLICK,POPUP,I_FRAME,FAVICON,WEBSITE_TRAFFIC,FORWARDING,TP_RATING,TP_REVIEWS_COUNT,SA_RATING,SA_BACKLINKS,SA_WEBSITE_SPEED,SA_SSL_CERT,GSO_MALTIVERSE,GSO_APWG,GSO_COMPLYTRON,GSO_DNSFILTER,GSO_FLASHSTART,GSO_IQGLOBAL,GSO_PULSEDIVE,GSO_QUAD9,PR_GLOBAL_RANK,PR_PAGE_RANK,UV_DETECTIONS,UV_SITES_SAME_IP,UV_SITES_SAME_IP_DETECTIONS,TS_TRUSTED,TS_RATING,TS_REVIEWS_COUNT,WHOIS_CREATED_MONTHS,WHOIS_LAST_UPDATED_MONTHS,WHOIS_EXPIRES_IN_MONTHS,WHOIS_DNSSEC,WHOIS_COUNTRY,WHOIS_PRIVACY,TRUST
saunasteine.de,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,365111,1,4.5,15,100,8,1,1,0,1,1,1,1,1,1,1,18505754,1,0,0,0,1,4.84,218,NaN,NaN,NaN,NaN,NaN,NaN,1
sleepingpills-direct.com,20,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1126,0,NaN,NaN,NaN,NaN,NaN,NaN,0,1,1,1,1,1,1,1,45396332,1,0,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
orshaircare.com,1
dazzleink.co.uk,12,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,482706,1,4.3,24,NaN,NaN,NaN,NaN,1,1,1,1,1,1,1,1,88675360,0,0,14,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
nightvisionguys.com,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,416003,0,4.6,647,100,21,4,1,1,1,1,1,1,1,1,1,10135531,2,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
blome-uhren.de,1
perniaspopupshop.com,16,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,357681,1,4.8,5353,100,150,4,1,0,1,1,1,1,1,1,1,138574,4,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
soclean-me.com,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,59282,1,0.0,0,100,NaN,4,1,0,1,1,1,1,1,1,1,16066310,1,0,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
theessexdogtrainingconsultant.co.uk,32,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,NaN,103710,1,NaN,NaN,100,NaN,4,1,0,1,1,1,1,1,1,1,NaN,NaN,0,14,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
gerfer-gartenmarkt.com,18,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,19696,1,NaN,NaN,100,NaN,4,1,0,1,1,1,1,1,1,1,71845100,1,0,0,0,1,5.0,50,NaN,NaN,NaN,NaN,NaN,NaN,1
